id,description,Employee engagement index 2,My work ,Organisational objectives and purpose ,My manager ,My team ,Learning and development ,Inclusion and fair treatment ,Resources and workload ,Pay and benefits ,Leadership and managing change ,B01. I am interested in my work ,B02. I am sufficiently challenged by my work ,B03. My work gives me a sense of personal accomplishment ,B04. I feel involved in the decisions that affect my work ,B05. I have a choice in deciding how I do my work,B06. I have a clear understanding of [my organisation's] purpose 3,B07. I have a clear understanding of [my organisation's] objectives ,B08. I understand how my work contributes to [my organisation's] objectives ,B09. My manager motivates me to be more effective in my job ,B10. My manager is considerate of my life outside work ,B11. My manager is open to my ideas ,B12. My manager helps me to understand how I contribute to [my organisation's] objectives ,"B13. Overall, I have confidence in the decisions made by my manager ",B14. My manager recognises when I have done my job well ,B15. I receive regular feedback on my performance ,B16. The feedback I receive helps me to improve my performance ,B17. I think that my performance is evaluated fairly ,B18. Poor performance is dealt with effectively in my team ,B19. The people in my team can be relied upon to help when things get difficult in my job ,B20. The people in my team work together to find ways to improve the service we provide ,B21. The people in my team are encouraged to come up with new and better ways of doing things ,B22. I am able to access the right learning and development opportunities when I need to ,B23. Learning and development activities I have completed in the past 12 months have helped to improve my performance ,B24. There are opportunities for me to develop my career in [my organisation] ,B25. Learning and development activities I have completed while working for [my organisation] are helping me to develop my career ,B26. I am treated fairly at work ,B27. I am treated with respect by the people I work with ,B28. I feel valued for the work I do ,"B29. I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc)  ","B30. In my job, I am clear what is expected of me ",B31. I get the information I need to do my job well ,B32. I have clear work objectives ,B33. I have the skills I need to do my job effectively ,B34. I have the tools I need to do my job effectively,B35. I have an acceptable workload,B36. I achieve a good balance between my work life and my private life,B37. I feel that my pay adequately reflects my performance ,B38. I am satisfied with the total benefits package ,B39. Compared to people doing a similar job in other organisations I feel my pay is reasonable ,B40. I feel that [my organisation] as a whole is managed well ,B41. [Senior managers] in [my organisation] are sufficiently visible ,B42. I believe the actions of [senior managers] are consistent with [my organisation's] values ,B43. I believe that [the board has] a clear vision for the future of [my organisation] ,"B44. Overall, I have confidence in the decisions made by [my organisation's senior managers] ",B45. I feel that change is managed well in [my organisation] ,B46. When changes are made in [my organisation] they are usually for the better ,B47. [My organisation] keeps me informed about matters that affect me ,B48. I have the opportunity to contribute my views before decisions are made that affect me ,B49. I think it is safe to challenge the way things are done in [my organisation] ,B50. I am proud when I tell others I am part of [my organisation] ,B51. I would recommend [my organisation] as a great place to work ,B52. I feel a strong personal attachment to [my organisation] ,B53. [My organisation] inspires me to do the best in my job ,B54. [My organisation] motivates me to help it achieve its objectives,B55. I believe that [senior managers] in [my organisation] will take action on the results from this survey ,B56. I believe that managers where I work will take action on the results from this survey ,"B57. Where I work, I think effective action has been taken on the results of the last survey 7 ",B58. I am trusted to carry out my job effectively ,"B59. I believe I would be supported if I try a new idea, even if it may not work ","B60. My performance is evaluated based on whether I get things done, rather than solely follow process ","B61. When I talk about [my organisation] I say ""we"" rather than ""they” ",B62. I have some really good friendships at work ,I want to leave [my organisation] as soon as possible ,I want to leave [my organisation] within the next 12 months ,I want to stay working for [my organisation] for at least the next year ,I want to stay working for [my organisation] for at least the next three years ,D01. Are you aware of the Civil Service Code? ,D02. Are you aware of how to raise a concern under the Civil Service Code? ,D03. Are you confident that if you raise a concern under the Civil Service Code in [your organisation] it would be investigated properly? ,"W01. Overall, how satisfied are you with your life nowadays? (% 7-10) 
(0=not at all satisfied, 10=completely satisfied) ","W02. Overall, to what extent do you think the things you do in your life are worthwhile? (% 7-10) 
(0=not at all worthwhile, 10=completely worthwhile) ","W03. Overall, how happy did you feel yesterday? (% 7-10) 
(0=not at all happy, 10=completely happy) ","W04. Overall, how anxious did you feel yesterday? (% 0-3) 
(0=not at all anxious, 10=completely anxious) ",E01. During the past 12 months have you personally experienced discrimination at work? ,E03. During the past 12 months have you personally experienced bullying or harassment at work? 
od_op_tax,"Operations - Tax professional  (n=4,379)",0.41,0.72,0.79,0.62,0.79,0.51,0.68,0.63,0.14,0.23,0.89,0.87,0.75,0.45,0.65,0.8,0.76,0.82,0.6,0.78,0.76,0.58,0.66,0.74,0.68,0.53,0.54,0.36,0.84,0.81,0.72,0.61,0.56,0.43,0.43,0.72,0.86,0.5,0.63,0.79,0.54,0.71,0.77,0.46,0.49,0.61,0.15,0.15,0.11,0.17,0.33,0.26,0.3,0.16,0.11,0.11,0.38,0.2,0.25,0.26,0.18,0.37,0.21,0.19,0.25,0.42,0.19,0.8,0.57,0.45,0.57,0.77,0.14,0.09,0.2,0.56,0.95,0.67,0.54,0.6,0.68,0.57,0.48,0.15,0.13
od_op_trspt,"Operations - Transport  (n=1,890)",0.46,0.54,0.6,0.53,0.65,0.32,0.56,0.65,0.2,0.19,0.87,0.63,0.66,0.25,0.29,0.61,0.56,0.62,0.51,0.63,0.61,0.46,0.55,0.65,0.55,0.49,0.47,0.34,0.77,0.7,0.47,0.41,0.34,0.28,0.26,0.6,0.76,0.4,0.49,0.78,0.53,0.67,0.86,0.6,0.59,0.5,0.2,0.22,0.16,0.18,0.19,0.19,0.22,0.15,0.14,0.13,0.34,0.14,0.19,0.42,0.29,0.33,0.27,0.24,0.17,0.28,0.15,0.73,0.35,0.37,0.4,0.75,0.13,0.14,0.21,0.51,0.89,0.68,0.45,0.57,0.66,0.58,0.51,0.21,0.22
od_op_voice,"Operations - Voice  (n=11,816)",0.51,0.53,0.8,0.7,0.82,0.45,0.7,0.7,0.26,0.37,0.76,0.65,0.58,0.33,0.33,0.81,0.79,0.8,0.69,0.75,0.73,0.68,0.7,0.79,0.78,0.7,0.64,0.54,0.89,0.83,0.74,0.57,0.47,0.4,0.35,0.74,0.86,0.51,0.7,0.87,0.61,0.77,0.82,0.56,0.59,0.68,0.23,0.31,0.25,0.38,0.4,0.39,0.39,0.32,0.33,0.32,0.5,0.27,0.39,0.44,0.4,0.38,0.39,0.38,0.34,0.47,0.36,0.81,0.53,0.48,0.54,0.84,0.14,0.11,0.19,0.56,0.88,0.66,0.64,0.6,0.66,0.58,0.5,0.12,0.1
od_op_other,"Operations - Other operations  (n=21,674)",0.54,0.74,0.82,0.67,0.8,0.5,0.73,0.71,0.27,0.38,0.89,0.8,0.75,0.56,0.69,0.83,0.8,0.82,0.67,0.77,0.78,0.65,0.7,0.77,0.68,0.62,0.62,0.45,0.84,0.82,0.75,0.63,0.51,0.44,0.41,0.77,0.84,0.62,0.71,0.83,0.66,0.74,0.86,0.63,0.59,0.65,0.26,0.31,0.24,0.38,0.43,0.4,0.41,0.34,0.29,0.28,0.53,0.33,0.39,0.48,0.38,0.46,0.4,0.38,0.39,0.54,0.38,0.87,0.67,0.62,0.62,0.8,0.1,0.1,0.21,0.59,0.9,0.71,0.65,0.62,0.69,0.6,0.51,0.13,0.12
od_cs_commercial,"CS - Commercial  (n=4,036)",0.56,0.76,0.83,0.66,0.78,0.55,0.75,0.66,0.31,0.37,0.9,0.82,0.75,0.57,0.74,0.86,0.8,0.83,0.67,0.83,0.81,0.61,0.74,0.77,0.62,0.6,0.61,0.38,0.83,0.8,0.72,0.65,0.52,0.53,0.52,0.78,0.84,0.63,0.73,0.79,0.59,0.67,0.84,0.58,0.53,0.64,0.31,0.34,0.26,0.39,0.47,0.41,0.41,0.36,0.23,0.23,0.55,0.31,0.37,0.53,0.43,0.44,0.4,0.37,0.39,0.5,0.31,0.86,0.67,0.64,0.68,0.77,0.08,0.12,0.28,0.52,0.91,0.68,0.65,0.62,0.69,0.59,0.51,0.11,0.11
od_cs_estates,"CS - Estates  (n=3,149)",0.59,0.75,0.77,0.63,0.74,0.48,0.71,0.72,0.31,0.38,0.89,0.78,0.75,0.57,0.73,0.78,0.74,0.79,0.64,0.73,0.75,0.59,0.67,0.74,0.6,0.58,0.59,0.45,0.78,0.75,0.7,0.57,0.48,0.4,0.46,0.73,0.78,0.62,0.7,0.83,0.66,0.74,0.88,0.69,0.6,0.67,0.31,0.33,0.27,0.41,0.45,0.42,0.41,0.37,0.3,0.26,0.47,0.32,0.36,0.6,0.45,0.53,0.45,0.41,0.36,0.42,0.31,0.89,0.67,0.63,0.6,0.77,0.08,0.09,0.19,0.64,0.76,0.62,0.57,0.6,0.66,0.59,0.49,0.13,0.12
od_cs_finance,"CS - Finance  (n=7,690)",0.56,0.75,0.83,0.67,0.8,0.54,0.76,0.73,0.33,0.42,0.88,0.79,0.73,0.58,0.76,0.86,0.81,0.83,0.68,0.81,0.82,0.62,0.74,0.78,0.65,0.6,0.62,0.41,0.82,0.8,0.76,0.67,0.52,0.47,0.48,0.79,0.85,0.65,0.75,0.83,0.66,0.75,0.88,0.67,0.6,0.69,0.33,0.36,0.29,0.45,0.52,0.45,0.44,0.4,0.29,0.27,0.58,0.35,0.42,0.51,0.45,0.44,0.41,0.39,0.43,0.55,0.37,0.89,0.72,0.66,0.64,0.75,0.07,0.11,0.27,0.55,0.91,0.68,0.68,0.64,0.69,0.59,0.5,0.1,0.1
od_cs_hr,"CS - Human resources  (n=6,431)",0.59,0.78,0.84,0.68,0.83,0.56,0.77,0.72,0.38,0.43,0.91,0.82,0.78,0.62,0.78,0.87,0.81,0.84,0.68,0.81,0.82,0.63,0.73,0.78,0.65,0.62,0.62,0.45,0.86,0.84,0.79,0.69,0.55,0.5,0.51,0.81,0.85,0.66,0.75,0.83,0.67,0.74,0.88,0.69,0.57,0.65,0.37,0.41,0.34,0.45,0.52,0.43,0.46,0.41,0.31,0.3,0.6,0.39,0.43,0.61,0.49,0.51,0.44,0.42,0.44,0.54,0.37,0.89,0.73,0.69,0.67,0.8,0.07,0.13,0.28,0.52,0.93,0.76,0.73,0.64,0.72,0.62,0.51,0.11,0.1
od_cs_ia,CS - Internal audit  (n=678),0.54,0.77,0.87,0.67,0.76,0.55,0.76,0.75,0.33,0.38,0.92,0.83,0.76,0.6,0.76,0.89,0.84,0.87,0.67,0.83,0.82,0.63,0.72,0.79,0.68,0.61,0.62,0.36,0.8,0.75,0.73,0.69,0.56,0.45,0.51,0.8,0.86,0.64,0.73,0.87,0.69,0.8,0.89,0.67,0.62,0.69,0.35,0.35,0.29,0.39,0.5,0.4,0.42,0.37,0.21,0.23,0.59,0.34,0.41,0.49,0.39,0.5,0.36,0.36,0.4,0.53,0.32,0.87,0.68,0.65,0.62,0.73,0.07,0.11,0.31,0.52,0.95,0.72,0.64,0.63,0.69,0.59,0.49,0.12,0.13
od_cs_it,"CS - Information technology  (n=7,188)",0.54,0.74,0.78,0.64,0.78,0.48,0.73,0.67,0.25,0.36,0.88,0.8,0.73,0.54,0.75,0.81,0.74,0.78,0.64,0.81,0.8,0.59,0.69,0.75,0.61,0.56,0.58,0.38,0.82,0.8,0.73,0.58,0.49,0.4,0.44,0.77,0.83,0.6,0.73,0.77,0.6,0.66,0.81,0.64,0.56,0.67,0.27,0.28,0.2,0.36,0.44,0.38,0.39,0.33,0.24,0.25,0.52,0.3,0.39,0.48,0.4,0.44,0.37,0.34,0.36,0.46,0.28,0.87,0.7,0.63,0.64,0.77,0.1,0.13,0.28,0.48,0.86,0.61,0.63,0.6,0.65,0.57,0.5,0.1,0.11
od_cs_kim,"CS - Knowledge & information management  (n=1,770)",0.55,0.75,0.77,0.66,0.79,0.48,0.74,0.72,0.29,0.35,0.88,0.79,0.74,0.56,0.76,0.81,0.73,0.77,0.66,0.83,0.82,0.59,0.71,0.79,0.63,0.59,0.62,0.39,0.82,0.8,0.76,0.63,0.49,0.39,0.41,0.78,0.84,0.63,0.71,0.8,0.67,0.73,0.85,0.65,0.62,0.71,0.29,0.32,0.26,0.37,0.44,0.37,0.37,0.33,0.22,0.2,0.52,0.32,0.36,0.51,0.39,0.44,0.38,0.35,0.37,0.49,0.29,0.89,0.71,0.65,0.61,0.72,0.07,0.12,0.26,0.56,0.9,0.65,0.63,0.59,0.65,0.56,0.49,0.11,0.1
od_cs_prvoff,"CS - Private Office  (n=1,699)",0.64,0.81,0.89,0.74,0.87,0.57,0.84,0.77,0.36,0.55,0.93,0.8,0.82,0.7,0.8,0.93,0.87,0.89,0.75,0.83,0.86,0.71,0.82,0.83,0.66,0.68,0.69,0.51,0.9,0.89,0.83,0.66,0.49,0.63,0.49,0.87,0.89,0.76,0.81,0.88,0.8,0.8,0.94,0.79,0.61,0.56,0.38,0.38,0.32,0.61,0.7,0.61,0.53,0.59,0.4,0.38,0.69,0.45,0.57,0.67,0.6,0.54,0.53,0.5,0.58,0.69,0.47,0.93,0.81,0.79,0.79,0.8,0.04,0.15,0.36,0.45,0.95,0.67,0.78,0.69,0.72,0.63,0.5,0.08,0.09
od_cs_ppm,"CS - Programme and project management  (n=9,652)",0.56,0.78,0.85,0.67,0.8,0.57,0.77,0.69,0.3,0.41,0.91,0.82,0.75,0.62,0.8,0.88,0.82,0.84,0.68,0.83,0.84,0.64,0.74,0.78,0.64,0.61,0.61,0.37,0.83,0.81,0.75,0.66,0.56,0.52,0.54,0.81,0.86,0.66,0.75,0.79,0.63,0.71,0.85,0.63,0.58,0.66,0.31,0.32,0.25,0.41,0.5,0.43,0.43,0.38,0.29,0.29,0.61,0.37,0.44,0.52,0.42,0.46,0.39,0.37,0.44,0.57,0.35,0.88,0.7,0.68,0.71,0.76,0.07,0.13,0.3,0.5,0.92,0.68,0.69,0.64,0.71,0.6,0.51,0.11,0.11
od_cs_security,"CS - Security  (n=3,837)",0.6,0.74,0.78,0.63,0.76,0.52,0.71,0.73,0.32,0.4,0.89,0.81,0.75,0.56,0.66,0.79,0.75,0.79,0.64,0.7,0.72,0.59,0.66,0.72,0.6,0.57,0.57,0.45,0.81,0.77,0.7,0.6,0.54,0.45,0.49,0.74,0.82,0.61,0.68,0.84,0.68,0.75,0.87,0.66,0.63,0.66,0.33,0.33,0.3,0.42,0.44,0.43,0.43,0.38,0.32,0.29,0.51,0.34,0.4,0.59,0.47,0.54,0.46,0.42,0.38,0.46,0.34,0.88,0.62,0.61,0.59,0.79,0.08,0.09,0.19,0.65,0.78,0.64,0.58,0.62,0.68,0.61,0.5,0.13,0.13
od_cs_strategy,"CS - Strategy  (n=1,721)",0.63,0.81,0.9,0.73,0.87,0.61,0.81,0.73,0.38,0.53,0.92,0.83,0.78,0.71,0.84,0.92,0.89,0.9,0.74,0.85,0.87,0.73,0.8,0.82,0.69,0.68,0.66,0.49,0.87,0.87,0.86,0.7,0.61,0.57,0.58,0.84,0.87,0.73,0.79,0.81,0.7,0.76,0.89,0.68,0.6,0.67,0.39,0.41,0.32,0.53,0.66,0.55,0.51,0.53,0.37,0.38,0.67,0.5,0.55,0.66,0.53,0.58,0.53,0.5,0.55,0.7,0.48,0.89,0.77,0.77,0.83,0.78,0.07,0.14,0.32,0.48,0.95,0.76,0.76,0.66,0.74,0.65,0.52,0.11,0.1
od_policy,"Policy  (n=17,127)",0.61,0.8,0.86,0.7,0.82,0.55,0.79,0.71,0.31,0.45,0.93,0.84,0.79,0.66,0.8,0.88,0.84,0.86,0.72,0.83,0.85,0.66,0.78,0.82,0.66,0.64,0.65,0.42,0.86,0.83,0.78,0.63,0.54,0.51,0.51,0.83,0.88,0.71,0.74,0.81,0.71,0.76,0.87,0.68,0.56,0.61,0.32,0.33,0.26,0.49,0.6,0.53,0.4,0.47,0.3,0.26,0.63,0.39,0.45,0.64,0.52,0.51,0.46,0.44,0.51,0.64,0.43,0.88,0.71,0.72,0.77,0.74,0.06,0.15,0.35,0.44,0.94,0.67,0.72,0.66,0.72,0.62,0.48,0.1,0.09
od_sp_animal,Specialist - Animal health  (n=280),0.44,0.67,0.58,0.54,0.7,0.47,0.63,0.59,0.26,0.21,0.91,0.8,0.71,0.39,0.55,0.62,0.51,0.63,0.5,0.69,0.66,0.46,0.57,0.66,0.58,0.49,0.48,0.33,0.8,0.75,0.55,0.57,0.55,0.33,0.41,0.66,0.79,0.48,0.58,0.69,0.51,0.57,0.87,0.6,0.37,0.49,0.25,0.31,0.21,0.21,0.3,0.27,0.17,0.19,0.12,0.08,0.35,0.22,0.22,0.35,0.23,0.36,0.24,0.23,0.27,0.41,0.25,0.82,0.48,0.43,0.52,0.76,0.13,0.15,0.23,0.48,0.92,0.64,0.52,0.6,0.68,0.59,0.46,0.18,0.18
od_sp_crtgph,"Specialist - Cartography  (n=1,285)",0.6,0.78,0.79,0.65,0.79,0.51,0.76,0.71,0.27,0.34,0.93,0.85,0.81,0.56,0.78,0.82,0.74,0.81,0.64,0.79,0.79,0.62,0.71,0.77,0.62,0.58,0.61,0.39,0.85,0.81,0.71,0.59,0.51,0.48,0.47,0.8,0.89,0.62,0.72,0.85,0.67,0.76,0.88,0.61,0.59,0.63,0.28,0.32,0.23,0.37,0.38,0.39,0.35,0.33,0.23,0.21,0.5,0.28,0.38,0.69,0.44,0.56,0.45,0.4,0.32,0.45,0.25,0.92,0.67,0.64,0.63,0.78,0.06,0.1,0.26,0.58,0.92,0.62,0.68,0.61,0.69,0.6,0.52,0.07,0.05
od_sp_comms,"Specialist - Comms  (n=3,626)",0.6,0.77,0.84,0.69,0.82,0.53,0.77,0.7,0.37,0.44,0.92,0.81,0.78,0.6,0.75,0.86,0.81,0.84,0.69,0.83,0.84,0.65,0.74,0.81,0.68,0.64,0.64,0.4,0.85,0.83,0.79,0.65,0.56,0.43,0.49,0.81,0.84,0.67,0.75,0.79,0.65,0.72,0.89,0.62,0.59,0.67,0.38,0.4,0.34,0.48,0.53,0.46,0.43,0.43,0.32,0.29,0.63,0.38,0.42,0.62,0.5,0.47,0.46,0.43,0.46,0.57,0.37,0.87,0.73,0.7,0.74,0.76,0.08,0.18,0.37,0.36,0.9,0.6,0.68,0.64,0.71,0.6,0.44,0.11,0.11
od_sp_econ,"Specialist - Economics  (n=1,229)",0.64,0.83,0.85,0.72,0.84,0.62,0.86,0.75,0.36,0.51,0.94,0.87,0.81,0.67,0.85,0.89,0.82,0.85,0.76,0.87,0.89,0.63,0.82,0.85,0.64,0.68,0.69,0.37,0.88,0.85,0.79,0.66,0.6,0.61,0.61,0.89,0.93,0.78,0.83,0.81,0.73,0.76,0.89,0.72,0.64,0.68,0.38,0.41,0.31,0.53,0.65,0.58,0.4,0.54,0.35,0.35,0.68,0.44,0.54,0.69,0.68,0.5,0.52,0.51,0.6,0.71,0.43,0.92,0.76,0.73,0.79,0.72,0.06,0.23,0.5,0.22,0.92,0.53,0.79,0.72,0.75,0.65,0.51,0.04,0.04
od_sp_eng,"Specialist - Engineering  (n=5,151)",0.51,0.72,0.69,0.58,0.73,0.5,0.7,0.64,0.2,0.28,0.88,0.77,0.71,0.53,0.71,0.73,0.64,0.71,0.59,0.75,0.75,0.48,0.65,0.69,0.5,0.49,0.53,0.34,0.8,0.75,0.64,0.57,0.48,0.46,0.48,0.76,0.82,0.55,0.66,0.77,0.57,0.64,0.84,0.54,0.52,0.61,0.21,0.24,0.15,0.26,0.34,0.32,0.28,0.25,0.17,0.14,0.44,0.25,0.38,0.46,0.34,0.38,0.3,0.27,0.27,0.36,0.18,0.88,0.66,0.58,0.52,0.76,0.09,0.14,0.28,0.49,0.78,0.52,0.54,0.55,0.63,0.54,0.53,0.11,0.09
od_sp_health,"Specialist - Health  (n=2,739)",0.59,0.77,0.79,0.64,0.79,0.56,0.75,0.73,0.42,0.33,0.94,0.86,0.83,0.54,0.7,0.8,0.76,0.81,0.66,0.74,0.77,0.59,0.69,0.73,0.59,0.59,0.62,0.42,0.82,0.8,0.74,0.6,0.63,0.45,0.54,0.8,0.85,0.65,0.71,0.85,0.7,0.79,0.91,0.71,0.57,0.58,0.44,0.42,0.41,0.36,0.39,0.42,0.31,0.31,0.24,0.2,0.48,0.29,0.32,0.64,0.46,0.49,0.43,0.39,0.32,0.41,0.22,0.9,0.68,0.64,0.5,0.79,0.06,0.1,0.28,0.56,0.72,0.49,0.55,0.61,0.72,0.6,0.56,0.13,0.12
od_sp_legal,"Specialist - Legal  (n=6,689)",0.54,0.74,0.81,0.64,0.76,0.48,0.71,0.68,0.28,0.36,0.93,0.86,0.81,0.5,0.61,0.83,0.78,0.81,0.65,0.77,0.75,0.61,0.7,0.74,0.62,0.58,0.6,0.34,0.83,0.79,0.67,0.61,0.54,0.37,0.39,0.74,0.83,0.58,0.68,0.85,0.64,0.76,0.89,0.58,0.5,0.56,0.28,0.3,0.26,0.37,0.47,0.44,0.36,0.36,0.26,0.19,0.49,0.3,0.33,0.51,0.38,0.47,0.38,0.35,0.41,0.51,0.33,0.85,0.57,0.54,0.61,0.79,0.1,0.11,0.28,0.51,0.91,0.65,0.64,0.61,0.69,0.58,0.45,0.12,0.11
od_sp_opres,Specialist - Operational research  (n=991),0.57,0.77,0.8,0.67,0.81,0.57,0.79,0.68,0.28,0.41,0.9,0.8,0.77,0.59,0.8,0.84,0.76,0.79,0.66,0.86,0.84,0.6,0.73,0.8,0.63,0.6,0.6,0.36,0.85,0.82,0.78,0.61,0.57,0.56,0.54,0.81,0.88,0.68,0.77,0.77,0.62,0.68,0.84,0.57,0.59,0.7,0.29,0.35,0.21,0.37,0.49,0.45,0.41,0.36,0.28,0.26,0.62,0.41,0.48,0.56,0.5,0.47,0.43,0.37,0.49,0.62,0.33,0.89,0.76,0.67,0.71,0.71,0.05,0.16,0.41,0.37,0.92,0.58,0.73,0.61,0.67,0.58,0.5,0.1,0.09
od_sp_science,"Specialist - Scientist  (n=4,088)",0.53,0.76,0.7,0.6,0.75,0.46,0.71,0.68,0.2,0.32,0.93,0.82,0.78,0.54,0.75,0.73,0.65,0.7,0.59,0.8,0.77,0.5,0.67,0.72,0.56,0.52,0.58,0.31,0.8,0.75,0.7,0.58,0.47,0.38,0.42,0.75,0.81,0.59,0.71,0.78,0.65,0.71,0.87,0.64,0.51,0.61,0.21,0.24,0.15,0.32,0.38,0.36,0.32,0.29,0.2,0.16,0.49,0.27,0.36,0.54,0.41,0.41,0.33,0.29,0.36,0.47,0.24,0.89,0.69,0.6,0.61,0.76,0.08,0.13,0.34,0.45,0.83,0.5,0.59,0.59,0.67,0.56,0.48,0.11,0.11
od_sp_socres,Specialist - Social research  (n=760),0.61,0.81,0.83,0.71,0.83,0.55,0.81,0.73,0.46,0.41,0.93,0.85,0.81,0.62,0.82,0.86,0.8,0.83,0.72,0.88,0.87,0.64,0.76,0.82,0.69,0.64,0.66,0.38,0.86,0.83,0.79,0.63,0.53,0.5,0.53,0.86,0.9,0.71,0.77,0.82,0.69,0.76,0.88,0.68,0.6,0.71,0.47,0.5,0.42,0.48,0.54,0.46,0.35,0.41,0.29,0.22,0.61,0.37,0.43,0.62,0.56,0.45,0.49,0.44,0.49,0.61,0.34,0.91,0.71,0.66,0.71,0.71,0.06,0.17,0.4,0.38,0.9,0.52,0.71,0.7,0.76,0.64,0.47,0.07,0.07
od_sp_stats,"Specialist - Statistics  (n=1,914)",0.57,0.81,0.82,0.71,0.86,0.59,0.81,0.74,0.39,0.44,0.92,0.84,0.79,0.67,0.83,0.85,0.78,0.82,0.71,0.87,0.87,0.62,0.79,0.82,0.68,0.64,0.67,0.4,0.87,0.86,0.84,0.65,0.58,0.57,0.55,0.85,0.89,0.71,0.8,0.84,0.72,0.78,0.88,0.67,0.6,0.7,0.41,0.43,0.33,0.46,0.56,0.48,0.38,0.43,0.29,0.28,0.63,0.39,0.48,0.55,0.53,0.43,0.41,0.39,0.49,0.64,0.38,0.92,0.8,0.7,0.69,0.71,0.06,0.15,0.37,0.43,0.92,0.57,0.71,0.68,0.71,0.61,0.51,0.09,0.07
od_sp_oth,"Specialist - Other  (n=1,261)",0.59,0.76,0.8,0.69,0.79,0.51,0.77,0.74,0.29,0.42,0.89,0.8,0.77,0.58,0.76,0.82,0.77,0.8,0.7,0.83,0.82,0.65,0.74,0.79,0.66,0.65,0.67,0.43,0.84,0.8,0.74,0.59,0.52,0.47,0.47,0.8,0.85,0.65,0.77,0.81,0.69,0.75,0.88,0.7,0.64,0.7,0.3,0.33,0.25,0.46,0.49,0.47,0.43,0.41,0.3,0.28,0.58,0.37,0.43,0.56,0.5,0.47,0.45,0.43,0.41,0.53,0.33,0.89,0.68,0.67,0.66,0.73,0.08,0.13,0.3,0.49,0.84,0.57,0.65,0.62,0.67,0.6,0.5,0.09,0.08
od_oth,"Other  (n=16,410)",0.5,0.68,0.71,0.57,0.73,0.41,0.66,0.64,0.24,0.28,0.86,0.77,0.7,0.47,0.61,0.73,0.68,0.72,0.58,0.69,0.7,0.52,0.62,0.69,0.55,0.51,0.53,0.34,0.79,0.74,0.65,0.5,0.42,0.34,0.36,0.69,0.79,0.53,0.62,0.78,0.57,0.67,0.84,0.58,0.52,0.56,0.25,0.25,0.22,0.28,0.35,0.33,0.29,0.25,0.19,0.16,0.4,0.23,0.29,0.48,0.32,0.41,0.32,0.29,0.27,0.37,0.21,0.84,0.59,0.55,0.5,0.76,0.12,0.11,0.23,0.53,0.8,0.6,0.53,0.57,0.64,0.56,0.5,0.15,0.14
d1_not,"Not on a development scheme (n=257,718)",0.54,0.71,0.79,0.65,0.78,0.48,0.72,0.7,0.27,0.36,0.87,0.78,0.72,0.51,0.65,0.81,0.77,0.8,0.65,0.76,0.77,0.61,0.69,0.75,0.65,0.6,0.6,0.41,0.83,0.8,0.72,0.6,0.49,0.42,0.4,0.76,0.84,0.6,0.7,0.82,0.64,0.74,0.85,0.62,0.57,0.65,0.27,0.3,0.24,0.37,0.43,0.39,0.38,0.33,0.27,0.24,0.51,0.31,0.37,0.49,0.39,0.44,0.39,0.36,0.37,0.49,0.33,0.86,0.64,0.6,0.6,0.79,0.1,0.11,0.24,0.55,0.87,0.65,0.63,0.61,0.68,0.59,0.5,0.12,0.11
d1_fs,"Civil Service Fast Stream schemes (n=1,800)",0.65,0.79,0.83,0.73,0.83,0.7,0.85,0.75,0.39,0.54,0.92,0.83,0.79,0.62,0.79,0.87,0.79,0.82,0.78,0.87,0.87,0.67,0.83,0.86,0.68,0.7,0.7,0.35,0.88,0.83,0.77,0.73,0.66,0.73,0.67,0.89,0.9,0.79,0.82,0.8,0.73,0.72,0.86,0.7,0.7,0.72,0.4,0.44,0.32,0.6,0.66,0.63,0.46,0.59,0.38,0.39,0.67,0.43,0.54,0.72,0.71,0.49,0.56,0.54,0.57,0.68,0.34,0.9,0.77,0.73,0.79,0.75,0.07,0.24,0.43,0.27,0.93,0.5,0.77,0.7,0.72,0.65,0.46,0.08,0.08
d1_oth,"Other development scheme (n=7,167)",0.63,0.79,0.88,0.74,0.84,0.77,0.82,0.75,0.35,0.51,0.93,0.83,0.81,0.63,0.76,0.9,0.86,0.87,0.76,0.84,0.84,0.72,0.79,0.83,0.73,0.72,0.71,0.48,0.88,0.85,0.8,0.81,0.79,0.71,0.76,0.86,0.9,0.72,0.81,0.85,0.73,0.79,0.86,0.69,0.62,0.69,0.35,0.4,0.3,0.52,0.59,0.56,0.5,0.5,0.38,0.4,0.66,0.43,0.53,0.64,0.58,0.55,0.54,0.53,0.53,0.65,0.43,0.91,0.75,0.7,0.75,0.82,0.04,0.1,0.28,0.57,0.91,0.65,0.73,0.68,0.74,0.63,0.52,0.09,0.09
sx_male,"Male  (n=116,954)",0.54,0.72,0.77,0.65,0.78,0.48,0.73,0.69,0.25,0.36,0.87,0.79,0.72,0.54,0.66,0.8,0.74,0.78,0.65,0.76,0.77,0.6,0.7,0.76,0.63,0.58,0.6,0.42,0.83,0.79,0.71,0.59,0.48,0.43,0.43,0.77,0.84,0.6,0.7,0.82,0.64,0.72,0.85,0.61,0.57,0.63,0.25,0.28,0.22,0.35,0.42,0.4,0.37,0.33,0.26,0.24,0.51,0.32,0.39,0.5,0.4,0.45,0.38,0.35,0.36,0.47,0.3,0.86,0.65,0.6,0.61,0.76,0.1,0.12,0.25,0.52,0.87,0.65,0.62,0.59,0.66,0.57,0.5,0.12,0.1
